Date,IP.G3111.N,IP.G3112.N,IP.G3113.N,IP.G3114.N,IP.G31151.N,IP.G3116.N,IP.N311511.N,IP.N311513.N,IP.N311514.N,IP.N31152.N,IP.N3118.N,IP.N31211.N,IP.N31212.N
1972-01,34.6961,47.8462,74.6385,59.952,56.3433,39.1359,93.8692,23.6976,48.3905,60.1529,86.927,53.9428,42.0694
1972-02,33.8895,48.033,62.5554,62.6868,58.8904,38.0237,97.3086,24.9751,52.6737,67.2738,87.0573,53.0928,44.9074
1972-03,33.5949,48.2429,57.5046,62.0129,62.4832,39.4701,101.6648,27.4163,59.2914,74.4713,88.0546,53.9394,50.33
1972-04,33.1411,49.3573,56.2333,62.4881,65.9364,39.7168,106.707,28.3575,64.5733,78.3607,87.5015,55.0427,55.6156
1972-05,32.8717,47.5457,56.6197,63.2913,69.5507,38.508,110.734,30.2025,73.2279,85.0335,89.2454,57.8405,53.0216
1972-06,35.514,49.0491,58.9134,65.8916,70.9409,39.6103,111.8276,32.1302,75.5397,100.9164,92.9756,65.6995,59.293
1972-07,35.3277,48.0591,60.1262,65.2049,63.8053,35.9084,103.8732,28.2536,61.2212,100.4452,93.3437,66.2211,56.2084
1972-08,35.2979,49.3021,61.6847,71.5668,60.0039,39.581,99.9581,26.4331,52.9814,96.6676,91.9589,66.0558,52.3866
1972-09,34.6192,48.3251,65.3464,77.6571,57.1905,40.0122,98.3809,24.813,43.2938,86.074,92.5882,62.3802,48.6807
1972-10,34.3151,53.281,93.1022,74.8477,55.4508,42.4762,95.9344,24.0136,39.6869,70.6176,91.0851,57.523,46.9488
1972-11,33.1467,48.0965,91.9384,68.9164,53.9925,40.2066,94.524,23.152,36.2266,61.0008,91.3959,56.3937,41.4681
1972-12,34.7928,51.0605,92.2597,63.3456,56.6438,37.674,96.9484,24.7895,41.6545,58.8465,91.1415,57.2372,40.9245
1973-01,33.856,50.8072,79.4889,65.186,57.9834,37.2538,99.3585,24.4918,43.332,61.2941,85.9705,55.1272,44.0613
1973-02,32.5077,50.8564,67.2754,67.0941,60.7049,36.0946,104.0466,25.7268,45.3741,72.436,87.9505,55.2803,48.9058
1973-03,31.498,48.4713,60.6097,67.4995,63.6197,35.3024,107.8055,27.5221,49.878,80.3533,87.616,57.2674,53.8403
1973-04,30.6932,46.5389,61.2107,67.6835,67.528,33.0113,113.5289,29.7058,53.7874,84.1729,88.0736,57.0435,56.1971
1973-05,31.3999,46.0954,62.4189,69.4468,71.4637,35.9612,117.655,31.699,62.4047,87.6493,89.2296,61.2764,55.6976
1973-06,33.9671,44.7867,65.1934,69.1241,71.9818,35.8758,117.6295,32.7462,63.8837,110.0961,92.5584,68.6145,56.2337
1973-07,33.9226,42.8765,62.7436,70.2114,63.7527,33.8498,108.7445,28.0606,49.6619,107.7167,92.7385,71.3189,58.1027
1973-08,34.1431,45.6725,63.7291,73.7702,59.3309,33.7236,103.4647,25.573,43.2777,99.9806,92.6462,68.6628,57.6755
1973-09,33.1141,45.519,70.1886,86.6336,56.0523,35.9191,100.349,22.8472,37.3725,91.9192,92.7929,65.599,55.0821
1973-10,34.2147,50.3832,89.6334,83.9419,55.2223,39.1057,98.1382,23.867,34.9359,75.5451,92.5125,60.5108,50.8958
1973-11,34.949,53.3348,95.143,74.5128,54.8974,38.3257,97.5852,24.9589,32.302,66.1446,94.1652,58.6175,46.901
1973-12,35.7834,53.1461,91.6248,64.642,57.8444,36.0692,99.6317,27.4359,37.9901,61.7268,92.1394,58.6801,47.0563
1974-01,35.6088,55.0259,77.23,62.0003,59.6575,37.7643,102.7434,28.2398,38.5466,63.1808,88.0038,56.6367,50.8826
1974-02,33.9514,55.6428,72.7931,66.1333,62.6244,35.4941,106.8859,30.7431,41.1575,75.5855,87.4503,55.8666,52.3114
1974-03,32.7432,54.5249,67.2352,64.4013,65.5844,38.302,110.1542,32.5626,46.6999,84.5379,87.0666,56.801,58.3761
1974-04,31.8903,51.027,58.6064,64.2966,69.9074,37.9689,115.4906,33.7925,54.9711,84.859,86.6315,56.8244,57.4836
1974-05,33.2941,51.1108,64.9621,65.0975,73.296,37.9095,120.1503,33.3819,63.0649,90.8295,89.4002,61.3083,62.1111
1974-06,35.4679,52.8179,69.2915,69.8287,75.0484,38.9957,121.4619,34.1201,68.0473,110.2547,91.9277,66.5801,70.5513
1974-07,35.996,51.3804,57.5179,70.2041,68.0549,36.3599,112.8776,30.1205,58.71,104.2233,91.7525,69.2645,66.3491
1974-08,35.7461,52.7987,61.9977,74.6787,63.8636,38.6593,108.0736,28.0076,51.2126,101.3504,91.807,69.4301,62.6052
1974-09,35.5689,52.8072,61.1319,85.4297,59.9975,39.6509,105.4086,26.8841,38.182,89.7633,91.6804,61.9802,57.5427
1974-10,35.1268,55.4107,86.4595,80.8478,57.948,40.8204,101.9491,26.8271,34.5405,73.9316,91.0089,58.7878,51.0134
1974-11,33.8649,55.5538,88.1385,70.6888,57.1527,37.8715,100.6572,26.3474,33.8614,66.3695,90.3724,57.8073,47.038
1974-12,34.6019,54.0243,75.7634,62.3377,60.7863,35.6176,102.8103,27.2281,45.0525,61.2611,88.1716,57.941,47.4498
1975-01,33.2701,53.4621,58.4481,59.3924,62.2845,36.4086,106.021,26.946,46.0144,64.472,82.6789,55.2537,51.0561
1975-02,33.0473,53.8,45.9752,62.6945,65.1938,35.694,110.4245,28.6453,48.8058,75.659,83.7131,53.8629,51.3356
1975-03,32.8316,52.6446,44.2089,61.9674,67.443,34.9888,114.0434,30.6895,49.0784,85.4416,84.2949,55.1558,53.0014
1975-04,32.7117,53.7098,52.1356,61.9498,71.5778,35.74,119.5795,32.3627,56.267,85.3638,84.0796,56.2825,60.2376
1975-05,33.1931,51.8342,53.0585,63.3377,75.7347,33.13,123.707,34.8276,65.9193,97.6661,87.4372,60.5268,58.0814
1975-06,35.2799,54.2452,55.2547,70.412,76.4975,35.2219,124.0152,36.5381,66.978,113.8873,90.6966,68.283,67.7186
1975-07,35.8438,54.0525,54.3151,70.7348,68.0097,33.4693,114.7542,31.9696,52.9741,108.4895,91.6984,71.1228,63.3826
1975-08,36.1476,56.9158,58.287,69.2357,63.0987,35.8104,109.8517,28.9628,43.6516,105.1578,93.1153,71.3778,61.6799
1975-09,36.2783,58.0366,57.7428,81.2204,60.7661,37.8166,107.6217,28.1156,37.5044,90.401,93.7254,66.3684,54.7861
1975-10,36.6064,61.1713,83.8241,81.3673,59.3206,39.5076,105.3627,27.6325,34.4475,75.9578,92.9931,61.5923,49.7971
1975-11,35.9857,59.3245,91.8427,72.562,58.7488,38.4102,104.826,26.7708,33.8686,70.4379,94.1691,60.9192,50.0357
1975-12,37.8467,57.8527,88.7841,63.7098,62.4766,36.7239,107.2995,29.6785,41.1617,62.9408,94.6371,61.1713,48.2745
1976-01,37.292,58.433,76.3709,61.6003,63.8409,38.3914,109.8315,29.7285,41.8321,62.1361,90.6052,58.6248,50.6576
1976-02,36.4172,59.8847,65.2482,65.3625,66.0447,38.0545,113.3895,30.2437,44.8132,74.2916,91.2529,58.0667,54.1709
1976-03,35.1935,58.4571,53.8063,64.7119,68.8268,40.5415,117.1698,32.8179,47.5469,87.2367,90.8001,59.5697,47.7711
1976-04,34.6114,57.8611,55.9583,65.1631,73.4299,38.4105,123.0029,35.3792,54.5049,90.413,92.2156,61.3631,57.7474
1976-05,36.4167,59.0132,61.2559,68.2604,75.5319,37.6324,125.8969,36.2566,57.239,94.449,93.1547,64.2497,65.7206
1976-06,37.3792,58.8407,59.265,71.2977,77.0962,40.4971,126.0194,38.0618,62.4574,110.3707,95.9297,68.412,67.1504
1976-07,37.223,58.2935,60.2855,72.6256,70.1133,38.977,117.7069,33.4519,53.8165,107.7996,95.2147,70.3873,69.3447
1976-08,37.369,60.7588,62.3481,75.9226,66.1619,43.4337,113.8665,31.9786,45.4564,104.1459,94.8475,67.7767,69.1739
1976-09,38.0218,60.9007,67.059,88.0785,63.4571,45.3011,111.3126,30.3274,40.4585,92.5304,94.6306,64.2678,61.7286
1976-10,38.1768,61.3572,94.1793,79.8658,60.9537,46.796,107.6803,28.5254,37.3713,75.3426,93.1627,61.7157,59.3117
1976-11,37.9336,59.7217,97.5425,74.6838,60.6993,44.5314,106.5582,29.5362,36.8946,67.7482,93.8579,61.0994,48.9874
1976-12,38.932,59.5277,99.6218,66.6596,63.7761,41.3897,108.3216,31.3766,44.5501,62.6841,93.8796,62.0926,46.7586
1977-01,38.1985,60.2028,85.1323,65.7253,63.986,41.8738,110.4831,29.7378,43.5622,63.9747,87.7994,59.4979,53.3988
1977-02,39.1273,64.2415,78.6938,70.03,67.3522,42.1109,114.8019,31.3114,49.3758,75.3053,88.3904,60.9043,54.8382
1977-03,38.2683,64.7931,67.5275,70.4996,70.3276,42.944,118.1347,33.5901,54.1121,90.3147,88.3548,61.7504,68.2719
1977-04,37.985,59.3344,66.38,71.2638,75.4371,41.5543,123.8527,35.3005,64.8809,92.9676,88.2688,63.4275,72.0884
1977-05,38.9722,59.7137,67.957,67.4742,78.3342,40.0479,126.9298,36.561,70.97,99.4447,89.2757,67.4307,74.1954
1977-06,41.1679,59.747,68.2077,69.1113,79.4248,42.6583,126.7946,36.5717,77.1808,115.0989,91.9124,73.7574,75.0042
1977-07,40.8315,57.5097,66.0152,71.634,73.1275,39.0938,119.5679,31.3188,70.5456,112.6974,91.4551,75.9741,72.4608
1977-08,40.5504,61.2575,67.9715,77.3251,68.5635,42.7126,116.3374,30.7234,55.5645,106.761,92.4265,75.9913,65.8181
1977-09,41.1702,61.14,73.2254,87.5429,66.2906,43.802,114.0622,28.8671,52.2753,92.0197,93.0051,70.9312,59.6673
1977-10,41.1706,62.4635,94.8798,82.2325,63.9767,44.864,110.7914,28.3619,47.3371,76.2702,92.0365,67.2875,58.2665
1977-11,41.5722,63.6112,92.2255,75.4498,63.0134,43.8396,109.5469,28.1143,45.5922,67.6102,92.6442,66.8443,54.6969
1977-12,42.6591,62.0958,98.199,69.5129,66.2811,40.7903,110.9347,30.7289,53.285,61.6376,93.1991,67.5677,53.8305
1978-01,40.6676,60.7037,78.2847,67.2359,66.8242,40.8521,112.9215,29.381,53.7196,62.0842,87.7999,64.1941,59.1689
1978-02,41.8403,62.7818,69.9303,69.3043,68.7186,41.9575,116.1105,30.9813,53.9525,73.1007,87.8417,64.851,64.0428
1978-03,42.0234,64.4006,66.4863,70.515,72.1899,41.1888,119.0652,33.6166,60.5681,84.1942,88.6659,67.85,70.5831
1978-04,40.8332,63.4669,67.3613,69.0491,75.523,42.4294,124.3197,33.3213,67.0107,89.3366,89.0011,70.4599,77.5155
1978-05,40.557,60.645,66.7801,72.0315,77.9552,41.1801,126.1892,35.1121,72.3015,92.739,90.2258,71.0609,74.1646
1978-06,42.8569,62.3522,68.0946,80.9352,79.5003,41.3593,126.0722,35.9511,78.6982,111.6701,92.7653,79.4133,78.8302
1978-07,42.3579,59.3316,63.1467,78.2515,71.3239,39.9221,117.8999,30.5953,65.7617,107.2555,92.4299,80.2498,79.8943
1978-08,41.7257,63.8601,66.1613,82.6079,66.9367,42.6298,113.5793,29.6924,55.2227,104.0116,93.2282,79.1194,78.9643
1978-09,42.3442,62.925,72.12,90.6954,63.4645,43.4722,110.7941,28.2475,46.1723,90.9006,92.9782,75.914,70.6407
1978-10,42.2752,66.7312,91.5654,85.9383,61.3727,45.5604,107.4026,28.6961,41.0062,79.4303,91.4013,71.6861,66.8091
1978-11,41.6383,64.5361,97.3533,79.0592,60.1775,44.3073,104.8268,29.5797,38.4927,68.0972,92.6267,70.5333,58.9434
1978-12,42.7466,63.7517,99.4282,71.2175,62.2286,42.0619,104.8689,30.7541,45.0657,62.5995,92.3159,70.8979,60.7217
1979-01,41.7366,60.6586,85.9585,65.7158,62.3049,41.6157,106.3368,29.8085,43.7692,63.2114,87.3714,68.4961,61.0631
1979-02,41.028,62.3288,73.8648,70.5249,64.3761,40.0679,108.7212,30.6289,47.8557,74.1759,88.1084,68.4853,67.8181
1979-03,40.2391,63.4307,70.6219,68.8489,67.2956,41.3367,110.5433,32.7695,54.8378,86.7041,89.0238,71.1795,75.453
1979-04,39.0441,61.742,67.2077,69.858,70.9841,41.357,114.0701,33.3712,64.458,91.4961,89.0362,71.08,77.3964
1979-05,39.5135,63.918,68.2578,71.0944,73.6414,41.5494,116.258,34.448,71.2307,95.007,89.5936,74.1656,73.6716
1979-06,41.0409,63.562,70.6167,75.1814,74.7423,42.6228,116.3059,35.9399,74.1811,110.461,91.5996,79.5578,77.1132
1979-07,41.2388,63.0426,65.1248,72.5861,67.827,41.6798,109.3301,32.2217,61.5588,107.5035,91.2267,79.7127,76.1046
1979-08,41.3876,65.4012,67.1413,80.3742,64.5041,44.4945,106.2361,31.2448,53.766,107.1211,91.8952,80.513,71.9664
1979-09,41.5636,63.5751,70.3602,86.9906,61.4613,43.332,105.1542,30.3868,42.8145,95.6277,92.3244,76.7236,69.9539
1979-10,41.9488,65.0633,88.0263,82.7562,60.5951,47.4821,102.5084,31.1829,41.5811,79.8576,92.0026,72.7603,65.3322
1979-11,42.6668,65.8032,92.9264,72.8943,59.8576,44.7904,101.2882,30.3176,41.9046,68.1141,93.7651,71.1909,58.4347
1979-12,44.2927,65.4376,91.9604,67.8914,61.7726,42.6815,102.6587,31.3238,46.3119,63.491,92.3729,71.2506,58.806
1980-01,43.787,66.355,75.677,65.0785,63.2392,44.3943,105.1648,31.7299,47.4569,67.2001,87.2563,68.4089,62.3226
1980-02,42.0323,67.1866,73.5049,71.7331,65.9295,43.3134,108.669,32.9804,51.5371,76.6916,87.2591,66.9284,68.9695
1980-03,42.4068,67.0217,64.8382,70.1192,68.0563,43.8661,111.4791,34.6353,53.5194,86.1666,87.4619,67.9674,74.9445
1980-04,41.2265,62.3196,57.0723,69.2356,72.5039,45.6657,115.9503,35.5334,64.8408,88.2806,86.9193,69.4501,73.2904
1980-05,41.4598,62.7093,64.7393,69.346,75.25,44.9829,118.7987,36.9277,70.1719,92.4681,88.9746,72.2895,77.9832
1980-06,43.5261,65.2081,67.0362,72.969,75.7182,45.0345,118.5126,38.1616,71.0646,108.8121,90.4243,77.3458,82.885
1980-07,43.464,62.9012,61.8606,73.6014,69.7125,41.1212,111.439,34.2192,63.2119,108.2165,89.9502,79.1977,79.5294
1980-08,43.643,66.8959,67.2932,79.52,65.9652,43.212,107.857,32.746,54.546,108.1979,91.0903,79.0883,81.6148
1980-09,45.9305,66.8612,67.9049,88.2389,63.9953,44.7283,106.0162,33.8516,46.0525,90.9541,90.9911,74.3157,72.269
1980-10,46.0418,67.2717,87.8421,82.6479,62.4982,47.416,102.6965,34.4036,43.5222,76.467,90.0497,68.6467,66.6453
1980-11,44.3729,66.8525,92.9684,73.5837,61.5687,45.3034,100.9813,34.0269,42.8625,66.6943,90.4678,66.2181,64.2926
1980-12,45.5449,66.2157,93.2555,68.1556,64.5137,43.8904,100.9844,36.9807,51.2916,64.0641,90.3538,66.8065,56.9027
1981-01,44.8477,64.2633,83.9206,63.9318,65.3127,45.736,102.9928,35.7155,53.5605,60.7476,85.2043,63.7658,58.1231
1981-02,43.5609,65.8381,78.8002,69.4504,67.818,44.7601,106.1398,36.7106,58.0759,76.7227,85.3891,63.4857,71.0419
1981-03,42.5791,67.373,67.9846,67.5153,69.937,46.4282,107.8951,39.0713,60.5047,86.8834,85.4098,63.3687,74.8701
1981-04,41.6407,64.084,67.9081,66.8729,73.3996,45.6178,110.7669,40.9904,68.3713,89.3102,86.6037,65.1407,79.3818
1981-05,42.2893,66.8562,72.5286,66.5427,74.262,44.3757,111.6069,41.2189,70.5799,93.9896,87.5096,68.1275,86.8803
1981-06,43.7439,68.596,72.2513,68.0928,73.6795,44.2365,109.8534,42.2305,69.3062,111.0287,90.0282,72.6176,84.3366
1981-07,43.472,65.7604,68.9855,69.2384,68.0341,41.892,104.36,36.8772,62.8976,111.1307,89.7779,74.5326,82.0615
1981-08,44.4672,68.0883,71.174,74.8735,66.0128,44.9407,102.0619,35.5346,59.8202,106.4541,90.794,72.8735,82.7303
1981-09,45.6775,70.8876,72.5345,83.0669,64.439,46.786,101.1321,35.9859,52.8888,91.7613,91.7367,68.2944,72.2636
1981-10,46.0731,70.3415,103.2366,78.0726,63.4032,48.4634,99.5229,35.6742,51.0376,77.1705,90.8547,64.3189,66.2067
1981-11,46.521,69.1133,101.938,73.6264,63.5354,47.2373,99.7978,35.7607,50.914,71.2567,91.6167,64.5645,63.7394
1981-12,48.4212,66.8962,98.7426,66.596,67.0825,46.2744,101.7729,38.4753,58.1335,66.8151,92.1757,65.9421,62.6607
1982-01,47.3363,67.8711,83.7032,63.9792,66.9094,45.9685,104.4265,36.1235,56.4815,62.278,86.8649,62.7663,73.1163
1982-02,48.1154,70.2657,81.0889,67.0721,69.4614,45.5912,108.4813,37.5265,58.6407,77.2827,88.3736,64.6944,77.5682
1982-03,47.3423,67.7669,72.4235,68.2465,72.184,46.1387,111.2366,39.9135,61.909,88.7959,88.606,65.374,80.7682
1982-04,47.6256,65.2096,64.1086,66.226,75.0005,45.3202,114.1332,40.7162,67.9141,86.5305,89.4759,67.1426,85.5427
1982-05,47.7028,64.3841,66.5909,64.883,75.6659,44.4514,117.0757,41.0512,65.4798,93.6493,91.8299,71.431,92.7209
1982-06,50.6934,68.2902,68.4003,71.0681,76.4217,46.5906,117.1264,42.1282,67.576,107.2899,93.6823,75.9432,87.3283
1982-07,50.8069,65.2884,66.429,73.3135,69.4205,43.1746,111.9241,37.8474,54.6953,101.4821,93.6022,77.33,81.4093
1982-08,50.2535,69.4089,67.6733,81.2836,68.012,46.6349,108.9532,36.9223,54.9524,98.5257,94.1364,77.843,84.8259
1982-09,51.2627,69.8582,70.7389,86.9436,68.2483,47.5176,107.5061,37.2829,57.1997,86.4686,95.428,74.7462,75.8293
1982-10,51.843,68.9797,99.3045,83.6052,66.1446,49.7437,105.122,36.9738,51.5359,72.3078,93.9977,70.2367,74.6403
1982-11,51.0308,69.5069,100.0089,73.8746,65.9057,47.3447,103.7642,36.4177,53.8798,66.2398,94.3557,69.0691,66.1388
1982-12,51.7655,67.9906,100.2309,67.1658,66.9729,44.5666,104.4245,38.5712,52.8471,61.6641,93.0073,70.6828,61.8239
1983-01,51.892,67.7084,82.8401,69.1433,69.603,46.9514,106.5948,36.8282,62.0903,63.7255,87.3588,66.9246,72.8405
1983-02,50.9242,67.1297,75.8963,70.2749,71.792,44.635,109.7138,37.8997,65.4499,74.5953,87.8999,67.3307,76.5647
1983-03,49.7398,67.6865,67.8765,65.8677,74.0133,46.2238,110.7842,40.3631,69.3611,86.9172,88.5255,68.0521,77.4426
1983-04,48.7209,65.3734,64.1958,66.4197,76.3986,46.1951,113.3429,40.3979,75.4684,83.7847,88.9417,68.5012,90.222
1983-05,48.3989,66.4819,65.8018,69.6243,78.6559,46.4367,115.378,41.5282,80.4145,94.6367,90.5768,71.5843,86.8858
1983-06,50.331,69.415,65.1125,75.1508,80.4012,48.4168,115.7225,43.4267,84.7801,110.5584,93.4043,76.8361,88.0997
1983-07,49.8767,68.5064,66.4801,76.3139,74.1644,44.923,110.1199,38.0666,76.8933,107.8748,93.2317,78.8659,89.8948
1983-08,49.2338,73.379,69.2927,81.3127,70.7278,47.9335,107.0425,36.216,70.6073,105.6151,93.2009,78.9346,83.2839
1983-09,50.0622,74.9076,72.204,91.8883,69.3286,49.1977,106.8587,36.7694,63.4372,96.1825,94.2318,75.518,74.4239
1983-10,49.6561,71.8537,96.2073,78.324,69.4235,51.6702,105.791,37.5972,63.1094,79.3072,93.7927,69.7522,74.4108
1983-11,48.8639,68.5985,92.7805,74.0836,70.6939,48.873,106.0907,38.8303,65.9115,70.5733,94.4576,68.6543,64.3011
1983-12,49.8412,68.7655,90.5952,65.9462,72.9172,46.2757,106.9054,40.3652,70.8218,65.7919,93.815,69.6703,57.5622
1984-01,51.3246,73.3204,81.7505,66.1418,71.757,45.4792,108.1374,37.3788,68.8752,67.2132,88.9531,66.8895,66.6282
1984-02,49.0653,70.75,75.1963,66.1623,73.0951,45.645,111.2676,38.5176,68.3237,85.8885,89.2472,66.4775,72.4026
1984-03,48.0842,70.4185,68.7295,67.9358,75.2314,46.7581,113.1672,40.8234,70.4652,97.0888,89.7912,67.9496,81.64
1984-04,47.6839,71.4177,65.9086,70.2676,78.4597,46.4084,117.2444,42.1535,75.2555,102.1573,91.1846,70.1876,82.478
1984-05,47.9371,73.3198,67.8299,69.7593,80.8211,47.3803,119.5939,43.2457,79.5769,108.6909,91.9921,72.9101,84.5872
1984-06,49.7833,73.3404,67.6371,75.5015,79.4911,47.9964,118.7935,42.98,76.3943,129.2666,94.3174,79.3887,88.676
1984-07,48.8415,71.4452,66.9695,78.8162,72.9088,44.9608,113.0114,38.0632,67.0718,125.5418,94.251,79.1307,89.923
1984-08,49.9303,75.2963,70.7315,85.3401,68.9789,47.7714,110.0939,37.148,57.4449,116.9936,94.6019,76.4934,79.4901
1984-09,51.4962,75.4397,74.7806,92.9915,67.1237,48.9204,109.2331,36.9029,51.5705,107.2405,95.7711,74.2514,73.294
1984-10,52.3131,76.7296,97.6665,94.6367,66.2859,51.9119,106.598,37.8862,49.8956,88.5515,95.806,69.6455,68.5664
1984-11,52.9648,79.0496,100.5774,78.2669,65.4957,48.3821,105.6518,37.7105,48.27,80.6465,97.9872,68.7387,61.6823
1984-12,54.2889,77.6494,98.2306,73.3711,68.2282,46.5581,106.211,39.0001,55.8381,74.212,97.5484,69.3282,62.2536
1985-01,54.51,78.5881,85.0569,70.2187,68.6898,47.9229,108.1825,38.6541,54.7617,76.4163,91.8631,68.1107,70.3921
1985-02,53.5057,78.0634,75.858,71.6271,70.8837,47.0983,110.5561,38.9611,59.7467,86.8852,92.888,67.1877,75.1731
1985-03,52.574,77.2896,68.9151,71.4719,72.3725,48.123,112.2132,40.3032,61.328,101.5525,93.8383,70.9224,81.073
1985-04,53.0353,79.2541,66.3601,68.2494,77.5045,49.3581,116.6591,43.3955,71.1452,105.1928,94.2037,74.2349,85.1582
1985-05,54.0615,80.7275,67.3397,72.1703,80.3144,49.8946,120.013,44.3429,76.5044,114.6719,95.679,80.5447,85.7393
1985-06,55.9015,82.6431,66.0386,81.7954,80.5321,49.9531,119.7283,44.3602,78.1248,131.001,96.2603,83.8688,92.0232
1985-07,55.8551,81.2828,65.4801,78.0593,77.5456,47.798,115.7105,42.5903,74.9611,124.9018,96.6245,84.9391,84.2995
1985-08,56.6876,84.0481,69.589,86.7412,75.5599,50.6338,113.2566,41.0782,72.6546,117.8107,97.1621,83.6405,81.8075
1985-09,57.7044,85.9548,77.9556,96.092,72.5321,50.8437,111.294,40.2161,63.3763,104.3909,98.3012,79.9345,71.3388
1985-10,58.7322,85.107,97.755,85.1946,72.5901,51.7306,109.3374,41.93,63.5766,86.4983,97.7916,75.1315,64.6616
1985-11,57.3682,81.632,98.987,74.3707,71.8482,47.7575,108.5495,41.8097,61.8756,74.8971,97.1801,75.3897,62.672
1985-12,59.5167,81.6408,101.9616,68.8589,73.9519,46.9283,108.5481,43.3159,67.9952,70.8604,98.0336,76.0979,61.3138
1986-01,58.6235,80.0451,84.798,72.2781,76.0635,49.2193,111.231,42.8523,73.0498,73.9219,92.6026,75.4235,70.2839
1986-02,56.168,80.9572,81.5309,73.4814,78.4221,48.2081,113.5868,44.0564,77.3649,89.2277,92.3852,75.1493,77.1875
1986-03,55.5768,78.3322,68.6293,73.7427,80.1303,48.0699,115.024,45.8312,79.6211,100.3609,92.9755,76.9336,78.3947
1986-04,54.7517,79.3386,64.1284,72.4841,84.2532,51.748,118.1701,47.9958,88.3219,104.6491,93.5279,81.1469,83.7016
1986-05,55.7558,78.7583,66.6297,75.2541,86.453,50.0277,120.6162,49.1576,92.0885,113.6755,94.6073,85.4298,85.219
1986-06,57.1013,83.8174,66.8552,77.8409,84.603,50.4422,119.002,48.5266,88.4331,127.7491,96.9594,87.6845,90.9359
1986-07,56.4515,79.6242,63.9242,80.7324,77.7798,47.9328,112.7636,45.1386,76.1071,121.728,97.4159,90.4601,82.5933
1986-08,56.6937,82.1409,69.2829,88.9428,73.7068,50.2926,109.8041,43.8942,66.3536,119.4737,98.0197,86.7783,82.2791
1986-09,57.37,80.4689,77.0439,93.4988,71.3712,51.1406,107.5009,44.351,59.517,97.1883,99.3433,80.5758,72.624
1986-10,56.8263,83.2026,100.9656,86.873,69.0947,52.5661,105.0582,43.1416,55.8723,86.6922,97.895,76.5876,71.9382
